t,wall,phase,label,cmd1,cmd2,cb1,cb2,bs1,bs2,a1,a2,ba1,ba2,v_batt,v_int,v_5v,t_mcu,ff
0.5993,2026-09-25T14:44:55.742,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.6094,2026-09-25T14:44:55.752,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.6197,2026-09-25T14:44:55.762,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.6299,2026-09-25T14:44:55.772,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.64,2026-09-25T14:44:55.782,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.6501,2026-09-25T14:44:55.792,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.6602,2026-09-25T14:44:55.803,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.6703,2026-09-25T14:44:55.813,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.6804,2026-09-25T14:44:55.823,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.6904,2026-09-25T14:44:55.833,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.7006,2026-09-25T14:44:55.843,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.7107,2026-09-25T14:44:55.853,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.7211,2026-09-25T14:44:55.863,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.7312,2026-09-25T14:44:55.874,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.7413,2026-09-25T14:44:55.884,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.7514,2026-09-25T14:44:55.894,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.7615,2026-09-25T14:44:55.904,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.7716,2026-09-25T14:44:55.914,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.7818,2026-09-25T14:44:55.924,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.7918,2026-09-25T14:44:55.934,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.802,2026-09-25T14:44:55.944,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.8121,2026-09-25T14:44:55.955,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
