t,phase,cmd_lin,cmd_ang,odom_v,odom_w,filt_v,filt_w,imu_yaw,amcl_x,amcl_y,amcl_yaw,v_batt,a1,a2,ba1,ba2,rpm1,rpm2,ff
4.2006,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
4.2516,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
4.3021,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
4.3527,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
4.4032,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
4.4538,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
4.5051,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
4.5559,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
4.6064,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
4.6569,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
4.7072,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
4.758,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
4.8085,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
4.8591,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
4.9095,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
4.9598,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
5.0105,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
5.0611,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
5.1115,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
5.162,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.2123,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.2632,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.3139,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.3645,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.4149,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
5.4652,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
5.5159,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
5.5664,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
5.6169,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
5.6673,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.7176,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.7682,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.8189,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.8693,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.9198,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
5.97,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
