t,x,y,v,w,rpm1,rpm2,ff,V
6.276,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.276,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.327,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.336,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.336,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.387,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.396,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.396,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.446,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.456,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.456,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.507,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.516,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.516,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.566,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.576,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.577,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.627,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.636,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.636,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.686,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.695,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.695,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.746,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.756,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.756,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.806,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.816,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.816,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.866,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.876,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.877,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.927,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.936,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.936,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.987,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.996,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
6.996,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.046,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.056,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.056,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.106,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.116,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.116,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.166,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.176,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.176,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.227,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.236,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.236,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.287,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.295,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.296,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.346,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.355,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.356,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.406,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.416,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.416,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.466,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.476,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.476,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.526,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.536,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.536,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.587,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.597,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.597,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.648,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.656,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.656,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.706,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.715,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.716,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.766,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.776,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.777,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.827,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.836,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.836,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.886,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.887,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
7.937,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
7.946,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
7.946,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.996,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.8
7.996,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.046,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.056,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.056,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.106,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.116,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.116,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.166,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.176,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.176,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.227,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.236,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.236,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.287,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.296,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.296,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.346,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.356,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.356,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.406,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.416,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.416,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.466,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.476,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.476,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.527,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.536,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.536,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.586,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.596,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.596,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.646,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.656,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.656,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.706,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.716,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.716,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.766,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.777,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.777,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.827,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.836,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.836,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.887,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.896,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.896,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.946,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.956,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
8.956,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.006,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.016,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.016,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.066,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.076,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.076,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.127,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.136,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.136,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.187,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.195,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.196,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.246,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.256,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.256,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.307,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.316,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.316,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.366,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.376,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.7
9.376,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.426,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.436,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.436,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.486,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.496,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.496,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.546,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.557,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.557,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.607,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
9.616,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.6
